review_id,date_key,product_key,user_key,rating,helpful_vote,verified_purchase,has_images,is_positive,is_negative,review_ts,category
71679cb75249ca8f8a45f050dcbf2a49,20230321,950485,2835604,5.0,1,true,true,true,false,2023-03-21 12:19:46.575+07,All_Beauty
45a6c18bdfe978bb772286cf151a0832,20210118,577177,1704528,5.0,0,true,false,true,false,2021-01-18 11:36:48.603+07,All_Beauty
9246aaf740f925e2c87431fef94b9f47,20220510,646863,1737829,5.0,0,true,false,true,false,2022-05-10 03:56:55.957+07,All_Beauty
0ba2640d57542e8d733468d9360e497c,20211111,921161,1937889,1.0,0,true,false,false,true,2021-11-11 02:28:23.433+07,All_Beauty
beed08f07eccd526e05512207deee4b1,20200629,732726,594668,4.0,9,false,false,true,false,2020-06-29 20:55:38.461+07,All_Beauty
642911c9d549ebf0f4f2754b5a36b857,20181225,308080,1964361,5.0,0,false,false,true,false,2018-12-25 07:58:33.582+07,All_Beauty
dd50e8c456ec680e54177d5bdc9d4f08,20170207,6166,84523,4.0,0,true,false,true,false,2017-02-07 13:56:37+07,All_Beauty
c13305bff444dc6f316a68d7a346aae8,20200829,647247,1463467,5.0,0,true,false,true,false,2020-08-29 21:27:26.095+07,All_Beauty
fe9797b60882f9d1b7d72552818689aa,20200127,430813,1583022,4.0,0,true,false,true,false,2020-01-27 05:19:50.932+07,All_Beauty
630165fb0e4d1039535b0f54533e04cd,20210421,151530,2644491,5.0,0,true,false,true,false,2021-04-21 22:35:00.538+07,All_Beauty
2ba99960d78d853227f364faa3301645,20210323,734687,2644491,5.0,0,true,false,true,false,2021-03-23 03:28:49.639+07,All_Beauty
7d63902d9e2277d915e79492f5187f5f,20211212,785504,1500954,5.0,0,true,false,true,false,2021-12-12 18:07:01.864+07,All_Beauty
50948be31d1a1a32c00150f63b48d0f2,20220814,952311,231753,5.0,0,true,false,true,false,2022-08-14 15:44:23.78+07,All_Beauty
a1b88dba7add9d4672d05a8b6ebd90e0,20221007,983098,1771454,5.0,0,true,false,true,false,2022-10-07 03:32:11.91+07,All_Beauty
ff97ecf31848d41880f8bbede20a8b2f,20211013,831525,2630791,3.0,0,true,true,false,false,2021-10-13 02:47:29.24+07,All_Beauty
047ed8d63360f74c311718c448eaf673,20210416,700297,888423,2.0,0,true,false,false,true,2021-04-16 08:49:38.104+07,All_Beauty
b609f5eb7774fd772a4706ef5776b30c,20210101,786941,1334828,5.0,0,true,false,true,false,2021-01-01 23:59:05.771+07,All_Beauty
33842ecf22750ddbdb622d70cc6c613e,20191104,584498,1587745,1.0,0,true,false,false,true,2019-11-04 06:29:22.659+07,All_Beauty
fbc1e586743e54fed8cb6eba99624d18,20191003,66901,2897989,1.0,0,true,true,false,true,2019-10-03 19:12:03.912+07,All_Beauty
411c8f5fcb28f0f1bb3f0626a332d463,20210823,766024,1201892,5.0,0,true,false,true,false,2021-08-23 20:02:57.718+07,All_Beauty
8f66b95dfa352cb2228f23b18cc803f8,20210710,479114,1406182,5.0,0,true,false,true,false,2021-07-10 09:51:33.99+07,All_Beauty
16808d44659a78f19c5e6f6bc3ace1a3,20210812,544611,711165,4.0,0,true,false,true,false,2021-08-12 09:30:18.874+07,All_Beauty
61aca5e5f2e58b8cda32ce2452f04a9e,20200227,352637,1699899,5.0,0,true,false,true,false,2020-02-27 00:16:41.69+07,All_Beauty
85ed7260adae6481b7e4c28d1c277d18,20190309,998831,610153,5.0,0,true,false,true,false,2019-03-09 19:52:22.323+07,All_Beauty
c804a4c6ac26f91ca55aedd3b6596c30,20140603,305421,1036687,5.0,1,true,false,true,false,2014-06-03 08:07:42+07,All_Beauty
f303d773068c454e42db99cb37a4b75c,20211203,988048,1978910,5.0,0,true,false,true,false,2021-12-03 11:40:56.617+07,All_Beauty
4a9999a05447b34c891d445846439531,20190906,554961,966354,2.0,3,true,false,false,true,2019-09-06 00:27:18.079+07,All_Beauty
4ad5c48c3394faab15ac2b0bbb3649f2,20191223,694992,576423,5.0,1,true,false,true,false,2019-12-23 09:56:12.967+07,All_Beauty
69cc5b7108aa29cd61deb3b1679f5c75,20220106,930082,2682503,1.0,4,true,false,false,true,2022-01-06 07:10:22.428+07,All_Beauty
0971dfc59d9c353db1dacf85bf0eef21,20210428,203548,2682503,5.0,0,true,false,true,false,2021-04-28 10:39:45.201+07,All_Beauty
66d4fe0b5e65893f341e5f8c30c6d180,20200915,694262,217354,5.0,0,true,false,true,false,2020-09-15 11:16:55.664+07,All_Beauty
5deefb05c119cff05e63f32b7e7b0c60,20200428,451236,2884803,5.0,1,true,false,true,false,2020-04-28 06:29:01.362+07,All_Beauty
6cf4d2072191728554a3540ecd8b09b0,20210628,890531,1769311,5.0,0,false,false,true,false,2021-06-28 22:49:12.084+07,All_Beauty
88c6e1747383659417296b6fb66cde78,20160703,126586,2605050,4.0,0,true,false,true,false,2016-07-03 12:09:07+07,All_Beauty
3799e6711ace84be4176848147280359,20200715,665274,2232891,2.0,0,true,false,false,true,2020-07-15 11:53:17.053+07,All_Beauty
5d863355882720f51fb8dcdbf698aecc,20220429,880261,2061107,5.0,0,true,false,true,false,2022-04-29 05:47:27.652+07,All_Beauty
40a1826c7b379f02351cb0c393da1d22,20191231,663236,633114,1.0,0,true,false,false,true,2019-12-31 23:33:34.186+07,All_Beauty
e3c37c855f44957d9978a9819ef833a5,20170521,267437,1242459,5.0,1,true,false,true,false,2017-05-21 07:53:29+07,All_Beauty
eaf2f318ba2fa13caad6be47a6d33617,20220221,284936,731829,5.0,0,true,false,true,false,2022-02-21 05:07:05.639+07,All_Beauty
